100,,,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan�s Performance,,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
Contract Name,Organization Marketing Name,Parent Organization,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults � Medication Review,C10: Care for Older Adults � Functional Status Assessment,C11: Care for Older Adults � Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: DiabetesCare � Eye Exam,C14: DiabetesCare � Kidney Disease Monitoring,C15: DiabetesCare � Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center � Foreign Language Interpreter and TTY Availability,D01: Call Center � Foreign Language Interpreter and TTY Availability,D02: Appeals Auto�Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Beneficiary Access and Performance Problems,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: High Risk Medication,D12: Medication Adherence for DiabetesMedications,D13: MedicatHypertension for Hypertension (RAS antagonists),D14: Medication Adherence for Cholesterol (Statins),D15: MTM Program Completion Rate for CMR
"VANTAGE HEALTH PLAN, INC.","Vantage Health Plan, Inc.","Vantage Holdings, Inc.",0.75,0.72,0.66,0.69,0.77,0.42,0.95,0,0,0,0,0.61,0.69,0.91,0.76,0.8,0.77,0.55,0.08,0.9,0.75,0.93,0.88,0.89,0.88,0.09,0.05,1,0,0.99,1,0.87,0.93,0,0,0.09,0.05,1,0,0.87,0.92,0.97,0.09,0.7,0.75,0.69,0.38
"MCS ADVANTAGE, INC.",MCS Classicare,"Medical Card System, Inc.",0.81,0.72,0.43,0.72,0.83,0.59,0.98,0.54,0.89,0.91,0.91,0.57,0.68,0.94,0.68,0.73,0.64,0.74,0.09,0.82,0.69,0.91,0.89,0.89,0.8,0.11,0.25,0.8,0,0.89,0.93,0.7,0.77,0.3,0,0.11,0.25,0.8,0,0.91,0,0.99,0.07,0.67,0.72,0.54,0.35
SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,Mercy Care Advantage,Southwest Catholic Health Network,0.65,0.58,0.72,0.68,0.78,0.48,0.88,-1,0.78,0.7,0.76,0.17,0.77,0.91,0.74,0.6,0.7,0.74,0.1,0.84,0.73,0.86,0.83,0.87,0.83,0.13,0.13,1,0,-1,-1,0.91,0.93,-1,-1,0.13,0.13,1,0,0.85,0.89,0.98,0.1,0.72,0.73,0.71,0.16
"HEALTH CHOICE ARIZONA, INC.",Health Choice Generations HMO SNP,IASIS Healthcare,0.6,0.57,0.63,0.72,0.79,0.41,0.92,0.2,0.78,0.64,0.84,0,0.68,0.91,0.61,0.64,0.73,0.64,0.12,0.79,0.76,0.86,0.86,0.86,0.81,0.22,0.09,0.8,0,0.97,0.77,0.84,0.82,16.7,0.75,0.22,0.09,0.8,0,0.86,0.89,0.99,0.08,0.66,0.69,0.66,0.38
BRIDGEWAY HEALTH SOLUTIONS,Bridgeway Health Solutions,Centene Corporation,0.34,0.46,0.75,0,0,0.43,0.94,0.4,0.93,0.88,0.94,0,0.84,0.96,0.88,0.76,0,0.83,0.1,0.78,0.71,0.83,0.83,0.83,0.82,0.06,0.05,0.8,0,0.85,0.92,0.9,0.92,21.7,0,0.06,0.05,0.8,0,0.82,0.87,0.99,0.15,0.84,0.85,0.84,0.17
"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",0.83,0.77,0.77,0.68,0.8,0.54,0.97,0,0,0,0,0.2,0.87,0.92,0.88,0.79,0.9,0.51,0.09,0.87,0.83,0.93,0.89,0.9,0.89,0.03,0.07,0.8,0,0.82,0.82,1,1,1.9,0.84,0.03,0.07,0.8,0,0.89,0.93,0.99,0.05,0.83,0.85,0.81,0.37
"OPTIMUM HEALTHCARE, INC.","Optimum HealthCare, Inc.","America's 1st Choice Holdings of Florida, LLC",0.82,0.79,0.64,0.66,0.78,0.5,0.98,0.84,0.96,0.94,0.96,0.79,0.82,0.95,0.9,0.83,0.72,0.57,0.08,0.81,0.75,0.86,0.83,0.85,0.84,0.13,0.25,1,0,0.97,1,0.99,1,0,0,0.13,0.25,1,0,0.88,0.92,0.99,0.09,0.81,0.82,0.78,0.64
"DENVER HEALTH MEDICAL PLAN, INC.","Denver Health Medical Plan, Inc.",Denver Health and Hospital Authority,0.74,0.66,0.76,0.68,0.7,0.55,0.93,-1,0.82,0.33,0.91,0.13,0.64,0.86,0.78,0.79,0.81,0.68,0.09,0.74,0.69,0.82,0.83,0.83,0.86,0.1,0.07,1,0,0,0,0.71,0.68,2.4,0,0.1,0.07,1,0,0.83,0.91,0.99,0.04,0.72,0.78,0.76,0.16
GEMCARE HEALTH PLAN INC.,Blue Shield of California,California Physicians' Service,0.84,0.61,0.74,0.61,0.74,0.5,0.91,0,0,0,0,0.53,0.77,0.91,0.78,0.67,0.78,0.6,0.08,0.81,0.73,0.92,0.86,0.87,0.83,0.05,0.04,1,0,-1,-1,0.92,0.92,1.2,0,0.05,0.04,1,0,0.87,0.92,0.99,0.14,0.73,0.76,0.72,0.37
"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARCADIAN HEALTH PLAN, INC.","Arcadian Health Plan, Inc.",Humana Inc.,0.77,0.7,0.72,0.73,0.82,0.46,0.94,0.56,0.86,0.89,0.97,0.15,0.71,0.94,0.74,0.77,0.76,0.61,0.07,0,0.81,0,0.85,0.82,0.87,0.25,0.12,0.6,0,0,0,0.96,0.98,2.3,0,0.25,0.12,0.6,0,0.83,0.87,0.98,0.05,0.83,0.85,0.83,0.24
"MOLINA HEALTHCARE OF UTAH, INC.",Molina Healthcare of Utah,"Molina Healthcare, Inc.,",0.64,0.67,0.69,0.76,0.76,0.54,0.97,-1,0.87,0.63,0.89,0.22,0.72,0.88,0.76,0.74,0.82,0.75,0.12,0.82,0.77,0.85,0.85,0.84,0.84,0.06,0.06,1,0,0.99,0.82,0.9,0.94,0,0.6,0.06,0.06,1,0,0.83,0.89,0.99,0.08,0.76,0.78,0.77,0.44
"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Central Health Medicare Plan,AHMC Central Health LLC,0.71,0.73,0.8,0.67,0.8,0.62,0.95,0.6,0.87,0.78,0.92,0.83,0.79,0.96,0.85,0.76,0.62,0.66,0.13,0.75,0.71,0.83,0.85,0.84,0.81,0.02,0.13,1,0,1,0.78,0.99,0.98,0,0,0.02,0.13,1,0,0.84,0.88,0.99,0.09,0.77,0.77,0.7,0.13
"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",Erickson Advantage,"UnitedHealth Group, Inc.",0.86,0.78,0.95,0.69,0.79,0.68,0.98,0.38,0.99,0.95,1,0,0.79,0.93,0.82,0.84,0.74,0.8,0.08,0.85,0.83,0.92,0.88,0.87,0.86,0.05,0.02,1,0,0,0,0.96,0.98,0,0,0.05,0.02,1,0,0.84,0.92,0.99,0.03,0.86,0.84,0.81,0.9
"SELECTCARE HEALTH PLANS, INC.",Universal American Corp.,Universal American Corp.,0.62,0.64,0.73,0.69,0.74,0.46,0.98,0,0,0,0,0,0.56,0.93,0.75,0.65,0.59,0.64,0.06,0.77,0.73,0.87,0.82,0.83,0.83,0.12,0.18,1,0,0.85,0.9,1,0.95,0,0,0.12,0.18,1,0,0.85,0.88,0.98,0.06,0.7,0.72,0.68,0.29
"HAP MIDWEST HEALTH PLAN, INC.",HAP Midwest Advantage,Henry Ford Health System,0.64,0.48,0.61,0,0,0.43,0.94,0.43,0.77,0.44,0.71,0,0.55,0.88,0.53,0.69,0,0,0.13,0.85,0.75,0.88,0.84,0.86,0.83,0.24,0.09,1,0,0,0,0.93,0.99,28.6,0,0.24,0.09,1,0,0.84,0.89,0.97,0.09,0.72,0.76,0.73,0.33
"WINDSOR HEALTH PLAN, INC.",WellCare,"WellCare Health Plans, Inc.",0.59,0.46,0.62,0.72,0.79,0.43,0.87,0.22,0.71,0.44,0.74,0.11,0.64,0.91,0.54,0.45,0.74,0.65,0.14,0.81,0.71,0.86,0.82,0.8,0.86,0.27,0.18,0.8,0,0.91,0.95,0.82,0.77,4.4,0.67,0.27,0.18,0.8,0,0.81,0.89,0.99,0.06,0.68,0.68,0.65,0.3
SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,South Country Health Alliance,0.83,0.73,0,0,0,0,0.95,-1,0.94,0.82,0.97,0,0.87,0,0.87,0.9,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.9,0.9,0,0,0,0,0.8,0,0,0,0.99,0.26,0.89,0.85,0.86,0.38
"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC.",Amerigroup Community Care of New Mexico,Anthem Inc.,0.61,0.53,0.72,0.67,0.82,0.54,0.9,0,0,0,0,0.34,0.67,0.89,0.6,0.64,0.75,0.65,0.08,0.8,0.77,0.84,0.81,0.77,0.82,0.2,0.04,1,0,0,0,0.99,0.98,0,0,0.2,0.04,1,0,0.8,0.88,0.99,0.06,0.74,0.75,0.73,0.19
"TRIPLE S ADVANTAGE, INC.",Triple S Advantage,Triple-S Management Corporation,0.77,0.68,0.43,0.74,0.77,0.51,0.83,-1,0.8,0.82,0.82,0.24,0.59,0.92,0.34,-1,0.53,0.69,0.09,0,0.74,0,0,0.9,0.84,0.23,0.28,0.8,0,0,0,0.87,0.92,0.4,0,0.23,0.28,0.8,0,0.91,0,0.99,0.09,0.68,0.71,0.55,0.27
"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.",Meridian Health Plan,"Caidan Enterprises, Inc.",0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.93,0.99,0,0,0,0,0.8,0,0,0,0.98,0.1,0.66,0.76,0.72,0.25
"MERIDIAN HEALTH PLAN OF IOWA, INC.",Meridian Health Plan,"Caidan Enterprises, Inc.",0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.93,0.99,0,0,0,0,1,0,0,0,0.98,0.08,0,0.7,0.71,0.19
"AETNA HEALTH, INC. (CT)",Aetna Medicare,Aetna Inc.,0.75,0.68,0.77,0.73,0.82,0.52,0.88,0,0,0,0,0.42,0.74,0.93,0.83,0.82,0.85,0.58,0.11,0.84,0.76,0.89,0.85,0.83,0.86,0.1,0.07,0.4,0,0.88,0.94,0.99,0.98,0.9,1,0.1,0.07,0.4,0,0.81,0.9,0.98,0.09,0.79,0.84,0.78,0.44
MOLINA HEALTHCARE OF CALIFORNIA,Molina Healthcare of California,"Molina Healthcare, Inc.,",0.61,0.63,0.62,0.65,0.81,0.56,0.96,-1,0.75,0.67,0.79,0.59,0.73,0.93,0.57,0.62,0.69,0.74,0.09,0.71,0.64,0.8,0.76,0.78,0.77,0.11,0.23,1,0,0.98,0.84,0.9,0.94,0,0,0.11,0.23,1,0,0.81,0.86,0.99,0.04,0.73,0.74,0.69,0.43
"AMERIGROUP TEXAS, INC.",Amerigroup,Anthem Inc.,0.6,0.57,0.7,0.7,0.82,0.57,0.93,0.29,0.78,0.6,0.8,0.34,0.73,0.94,0.64,0.63,0.71,0.72,0.11,0,0.78,0.85,0.84,0.83,0.83,0.21,0.14,1,0,1,0.91,0.99,0.98,0.9,0,0.21,0.14,1,0,0.84,0,0.99,0.05,0.75,0.76,0.7,0.18
"MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare of Washington, Inc.","Molina Healthcare, Inc.,",0.58,0.55,0.71,0.68,0.73,0.58,0.85,-1,0.83,0.61,0.84,0.43,0.62,0.86,0.47,0.62,0.78,0.73,0.09,0.8,0.75,0.84,0.83,0.79,0.84,0.04,0.09,1,0,0.97,0.65,0.9,0.94,0,0,0.04,0.09,1,0,0.79,0.86,0.99,0.06,0.79,0.77,0.78,0.42
COMMUNITY HEALTH PLAN OF WASHINGTON,Community HealthFirst Medicare Advantage Plan,Community Health Plan of Washington,0.62,0.56,0.7,0.7,0.79,0.5,0.88,0.16,0.89,0.56,0.47,0.18,0.73,0.91,0.76,0.66,0.79,0.57,0.09,0.8,0.72,0.87,0.82,0.8,0.83,0.27,0.09,0.8,0,0.98,0.76,0.86,0.91,4.1,0,0.27,0.09,0.8,0,0.79,0.88,0.99,0.1,0.73,0.75,0.72,0.12
AIDS HEALTHCARE FOUNDATION,AHF,AIDS Healthcare Foundation,0,0.79,0.78,0,0,0,0.94,0.29,0.96,0.95,0.97,0,0.59,0,0.8,0.71,0,0,0,0.82,0.78,0.8,0.88,0.87,0.81,0.2,0,1,0,0,0,0.84,0.8,0,0,0.2,0,1,0,0.87,0.9,0.99,0.09,0.88,0.8,0.84,0.28
"ANTHEM HEALTH PLANS, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0.6,0.68,0,0.59,0.67,0.52,0.92,0,0,0,0,0,0.49,0,0.65,0.74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.99,0.98,0,0,0,0,1,0,0,0,0.99,0.05,0.83,0.81,0.76,0.25
"HEALTH PLAN OF CAREOREGON, INC.",CareOregon Advantage,"CareOregon, Inc.",0.69,0.62,0.71,0.63,0.75,0.61,0.93,0.44,0.93,0.85,0.91,0.3,0.68,0.88,0.64,0.72,0.9,0.69,0.11,0.83,0.76,0.85,0.85,0.85,0.85,0.05,0.04,0.8,0,0.94,0.9,0.8,0.79,56.5,0.65,0.05,0.04,0.8,0,0.83,0.89,0.99,0.08,0.77,0.77,0.78,0.32
BLUE CARE NETWORK OF MICHIGAN,Blue Care Network,Blue Cross Blue Shield of Michigan,0.81,0.75,0.75,0.66,0.77,0.52,0.95,0,0,0,0,0.45,0.75,0.93,0.87,0.78,0.81,0.58,0.1,0.85,0.78,0.88,0.87,0.85,0.85,0.13,0.03,1,0,1,0.93,0.94,0.96,0.5,0,0.13,0.03,1,0,0.84,0.92,0.98,0.04,0.8,0.85,0.8,0.2
"MOLINA HEALTHCARE OF MICHIGAN, INC.",Molina Healthcare of Michigan,"Molina Healthcare, Inc.,",0.69,0.63,0.62,0.6,0.81,0.54,0.99,-1,0.83,0.6,0.83,0.49,0.66,0.9,0.69,0.63,0.6,0.69,0.1,0.82,0.74,0.84,0.83,0.84,0.83,0.14,0.1,1,0,0.96,0.67,0.9,0.94,0,0,0.14,0.1,1,0,0.85,0.88,0.99,0.05,0.73,0.74,0.71,0.53
CARE1ST HEALTH PLAN,Care1st Health Plan,Care1st Health Plan,0.76,0.71,0.77,0.68,0.8,0.52,0.96,0.45,0.95,0.61,0.86,0.29,0.75,0.94,0.75,0.75,0.71,0.62,0.11,0.81,0.71,0.87,0.84,0.84,0.81,0.18,0.2,0.8,0,0.98,0.95,0.7,0.68,5.4,0.89,0.18,0.2,0.8,0,0.83,0.85,0.98,0.04,0.79,0.8,0.76,0.49
"GATEWAY HEALTH PLAN, INC.",Gateway Health Medicare Assured,"Gateway Health Plan, LP",0.65,0.52,0.71,0.75,0.72,0.47,0.82,-1,0.82,0.55,0.86,0.41,0.7,0.88,0.65,0.63,0.74,0.72,0.11,0.87,0.76,0.86,0.83,0.85,0.84,0.08,0.06,0.6,0,0.99,0.92,0.93,0.86,4,0.5,0.08,0.06,0.6,0,0.85,0.91,0.98,0.08,0.75,0.74,0.73,0.19
CAPITAL HEALTH PLAN,Capital Health Plan,Guidewell Mutual Holding Corporation,0.84,0.9,0.77,0.65,0.81,0.59,0.97,0,0,0,0,0.53,0.84,0.96,0.88,0.78,0.86,0.53,0.08,0.87,0.76,0.91,0.89,0.94,0.85,0.04,0.01,1,0,1,0.88,0.94,0.92,1.9,0,0.04,0.01,1,0,0.9,0.93,0.98,0.09,0.74,0.81,0.75,0.29
SCAN HEALTH PLAN,VillageHealth,SCAN Health Plan,0.39,0.46,0.91,0,0,0,0.6,0.57,0.76,0.82,0.94,0,0.72,1,0.67,0,0,0,0.08,0.84,0.77,0.84,0.87,0.88,0.82,0,0.08,1,0,0.92,0.68,0.99,1,0,0,0,0.08,1,0,0.85,0.87,0.98,0.16,0,0,0.71,0.08
PROMINENCE HEALTHFIRST,Prominence Health Plan,"Universal Health Services, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALOHACARE,AlohaCare,AlohaCare,0.64,0.52,0,0.68,0.8,0.54,0.86,0.59,0.78,0.48,0.81,0,0.68,0.88,0.66,0.47,0,0.66,0.1,0,0,0,0,0,0,0.05,0.04,0.6,0,-1,-1,0.95,0.94,0,0,0.05,0.04,0.6,0,0,0,0.98,0.11,0.72,0.7,0.66,0.12
HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,0.71,0.59,0.72,0.65,0.82,0.44,0.91,0,0,0,0,0.18,0.62,0.89,0.64,0.76,0.79,0.59,0.1,0.83,0.78,0.86,0.85,0.83,0.86,0.38,0.17,0.6,0,0,0,0.96,0.98,0,0,0.38,0.17,0.6,0,0.82,0.88,0.98,0.05,0.81,0.82,0.79,0.26
"PHOENIX HEALTH PLANS, INC.",Phoenix Health Plans,Tenet Healthcare Corporation,0.57,0.36,0.62,0.7,0.84,0.43,0.82,-1,0.71,0.36,0.42,0,0.57,0.91,0.7,0.56,0.59,0.58,0.1,0.78,0.71,0.84,0.82,0.79,0.82,0.4,0.16,0.4,0,0.8,0.83,0.76,0.7,60.3,0.93,0.4,0.16,0.4,0,0.79,0.87,0.98,0.09,0.7,0.72,0.68,0.14
"CENTERLIGHT HEALTHCARE, INC.",CenterLight Healthcare,"CenterLight Health System, Inc.",0.35,0.72,0,0,0,0,1,1,1,1,1,0,0.93,0.91,0.88,0,0,0,0.03,0,0,0,0,0,0,0.17,0.13,1,0,0,0,0.84,0.67,10.4,0,0.17,0.13,1,0,0,0,0.91,0.07,0.94,0.86,0.81,0.19
"AFFINITY HEALTH PLAN, INC.",Affinity Health Plan,"Affinity Health Services Holdings, Inc.",0.78,0.69,0.65,0.73,0.74,0.64,0.98,-1,0.89,0.77,0.85,0,0.73,0.95,0.74,0.52,0.77,0.68,0.1,0.82,0.72,0.87,0.86,0.88,0.84,0.11,0.13,0.8,0,1,0.65,0.94,0.9,0,0,0.11,0.13,0.8,0,0.86,0.91,0.99,0.04,0.8,0.78,0.69,0.31
"SENIOR WHOLE HEALTH OF NEW YORK, INC.",Senior Whole Health of New York,"SWH Holdings, Inc.",0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.83,0.84,0,0,0,0,0.8,0,0,0,0.99,0,0,0,0,0
ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,0.66,0.62,0.68,0.7,0.68,0.53,0.92,0.34,0.85,0.65,0.73,0.27,0.67,0.91,0.66,0.64,0.85,0.74,0.12,0.82,0.77,0.84,0.85,0.86,0.85,0.03,0.02,1,0,1,0.81,0.64,0.61,0,0,0.03,0.02,1,0,0.84,0.9,0.98,0.12,0.77,0.76,0.81,0.17
"KAISER FOUNDATION HP, INC.",Kaiser Permanente Medicare Cost,"Kaiser Foundation Health Plan, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAISER FOUNDATION HP, INC.",Kaiser Permanente Medicare Cost,"Kaiser Foundation Health Plan, Inc.",0,0.81,0.83,0,0,0,0.95,0,0,0,0,0,0,0,0,0.89,0,0,0.11,0.87,0.83,0.9,0.9,0.92,0.87,0.49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.",Meridian Complete,"Caidan Enterprises, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN, INC.",Anthem Blue Cross Cal MediConnect,Anthem Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGENCE BLUECROSS BLUESHIELD OF OREGON,Regence BlueCross BlueShield of Oregon,"Cambia Health Solutions, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.94,0.95,0,0,0,0,1,0,0,0,0.98,0.05,0,0.77,0.86,0
HEALTHSPAN INTEGRATED CARE,HealthSpan,Catholic Health Partners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRSTCAROLINACARE INSURANCE COMPANY,FirstCarolinaCare Insurance Company,"FirstHealth of the Carolinas, Inc.",0,0.72,0.77,0,0,0.47,0.97,0,0,0,0,0,0.58,0.91,0.79,0.69,0,0.51,0.12,0.91,0.77,0.93,0.89,0.91,0.87,0,0.04,1,0,0,0,0.92,0.98,0,0,0,0.04,1,0,0.89,0.95,0.98,0.06,0.74,0.76,0.72,0.17
"AGEWELL NEW YORK, LLC",AgeWell New York FIDA Plan,"ParkerCare New York, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRESENIUS HEALTH PLANS OF NORTH CAROLINA, INC.",Fresenius Health Plans,Fresenius Medicare Care AG & Co. KGaA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARE N' CARE INSURANCE COMPANY, INC.",Care N� Care Insurance Company,North Texas Specialty Physicians,0.77,0.67,0.78,0.68,0.82,0.57,0.95,0,0,0,0,0.31,0.69,0.94,0.82,0.79,0.83,0.58,0.09,0.85,0.76,0.91,0.87,0.87,0.86,0.41,0.15,1,0,0,0,0.74,0.76,0,0,0.41,0.15,1,0,0.86,0.91,0.98,0.1,0.77,0.79,0.74,-1
HEALTHSPAN INTEGRATED CARE,HealthSpan,Catholic Health Partners,0.85,0.78,0.81,0.64,0.74,0.57,1,0,0,0,0,0.51,0.77,0.97,0.75,0.79,0.85,0.66,0,0.85,0.81,0.86,0.86,0.84,0.84,0.15,0.11,1,0,1,0.93,0,0,0,0,0.15,0.11,1,0,0.85,0.85,1,0.05,0.82,0.82,0.8,0.62
"TODAY'S OPTIONS OF NEW YORK, INC.","Today's Options of New York, Inc.",Universal American Corp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELDERSERVE HEALTH, INC.",RiverSpring FIDA Plan,Riverspring Health Holding Corp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HMO LOUISIANA, INC.",HMO Louisiana,Louisiana Health Service & Indemnity Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Care Improvement Plus,"UnitedHealth Group, Inc.",0.68,0.6,0.68,0.58,0.71,0.48,0.96,0.34,0.87,0.78,0.89,0.21,0.63,0.89,0.73,0.53,0.74,0.61,0.1,0.86,0.72,0.86,0.83,0.8,0.86,0.24,0.26,1,0,0.69,0.9,0.96,0.98,0.3,0,0.24,0.26,1,0,0.81,0.9,0.98,0.06,0.67,0.72,0.68,0.49
HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0.72,0.66,0.8,0.68,0.79,0.5,0.94,0,0,0,0,0.25,0.67,0.92,0.8,0.79,0.81,0.58,0.09,0.85,0.78,0.88,0.87,0.86,0.88,0.07,0.03,0.6,0,0.95,0.96,0.96,0.98,1.3,0.8,0.07,0.03,0.6,0,0.85,0.9,0.98,0.08,0.81,0.82,0.79,0.29
HUMANA WI HEALTH ORGANIZATION INSURANCE CORP,Humana WI Health Organization Insurance Corp,Humana Inc.,0.79,0.75,0.76,0.69,0.8,0.53,0.97,0,0,0,0,0.28,0.7,0.96,0.87,0.88,0.87,0.54,0.09,0.87,0.82,0.88,0.86,0.86,0.89,0.21,0.1,0.6,0,0,0,0.96,0.98,0,0,0.21,0.1,0.6,0,0.86,0.9,0.98,0.05,0.84,0.85,0.83,0.24
MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,Maricopa Care Advantage,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,0.71,0.66,0.63,0,0,0,0.9,0.63,0.82,0.51,0.81,0,0.74,0.91,0.81,0.66,0,0,0.06,0.8,0.74,0.87,0.84,0.87,0.81,0.07,0.11,1,0,0,0,0.49,0.58,18.2,0,0.07,0.11,1,0,0.85,0.9,0.99,0.06,0.6,0.65,0.61,0.17
MEDICAL MUTUAL OF OHIO,Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,0.68,0.58,0.71,0.66,0.76,0.45,0.85,0,0,0,0,0.26,0.58,0.88,0.72,0.66,0.88,0.53,0.09,0.82,0.74,0.92,0.84,0.86,0.83,0.03,0.04,0.8,0,0.94,0.71,0.64,0.61,0,0,0.03,0.04,0.8,0,0.84,0.91,0.99,0.07,0.76,0.79,0.76,0.18
AMIDA CARE INC.,Amida Care,Amida Care Inc.,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.99,0.98,0,0,0,0,1,0,0,0,1,0.1,0,0,0,0
